date_taken,kickoff,league,fixture,market,selection,p_model,odds_available,fair_odds,edge_pct,devigged_market_p,odds_closing,fair_closing,clv_raw_pct,clv_fair_pct,result,stake,pnl,source_note
2026-09-20T09:58:13+00:00,2026-09-20,E0,Bournemouth v Liverpool,1x2,H,0.389367,3.2,2.5683,24.598,0.295691,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,N1,Feyenoord v Utrecht,over_under,UNDER,0.3602,3.4,2.7762,22.468,0.281184,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,SP1,Ath Madrid v Real Madrid,1x2,H,0.338251,3.6,2.9564,21.77,0.26082,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,F1,Marseille v Paris SG,over_under,UNDER,0.377166,3.2,2.6514,20.693,0.298246,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,SC0,Celtic v Rangers,1x2,H,0.549696,2.15,1.8192,18.185,0.440383,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,SP1,Valencia v Sociedad,1x2,H,0.437446,2.7,2.286,18.11,0.35375,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,E0,Man City v Sunderland,over_under,UNDER,0.489421,2.38,2.0432,16.482,0.397468,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,I2,Modena v Empoli,over_under,UNDER,0.609816,1.9,1.6398,15.865,0.5,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,SP2,Las Palmas v Burgos,over_under,UNDER,0.693458,1.67,1.442,15.807,0.562827,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,B1,Antwerp v St. Gilloise,over_under,UNDER,0.556776,2.05,1.7961,14.139,0.460526,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,F1,Nice v Lille,over_under,UNDER,0.583814,1.93,1.7129,12.676,0.5,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,I1,Juventus v Atalanta,over_under,UNDER,0.587324,1.91,1.7026,12.179,0.5,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,G1,OFI Crete v Asteras Tripolis,over_under,OVER,0.496947,2.25,2.0123,11.813,0.418605,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,F1,Auxerre v Brest,1x2,H,0.385631,2.88,2.5932,11.062,0.333517,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
2026-09-20T09:58:13+00:00,2026-09-20,T1,Goztep v Rizespor,1x2,H,0.478615,2.3,2.0894,10.082,0.402347,,,,,pending,0.0,,"cbets daily run, football-data.co.uk via repo, 2026-09-20"
