date,kickoff,div,country,league,league_label,fixture,home,away,confidence,xg_home,xg_away,group,market,selection,prob,fair_odds,validation,price,edge_pct,exp_shots,exp_sot,exp_corners,exp_fouls
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,1X2,Home,0.4595,2.18,no better than league average,1.76,-19.13,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,1X2,Draw,0.2756,3.63,no better than league average,3.6,-0.8,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,1X2,Away,0.2649,3.77,no better than league average,4.2,11.28,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Double chance,Home or Draw,0.7351,1.36,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Double chance,Home or Away,0.7244,1.38,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Double chance,Draw or Away,0.5405,1.85,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Over 0.5,0.9098,1.1,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Under 0.5,0.0902,11.08,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Over 1.5,0.7101,1.41,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Under 1.5,0.2899,3.45,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Over 2.5,0.4467,2.24,no better than league average,2.05,-8.44,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Under 2.5,0.5533,1.81,no better than league average,1.75,-3.16,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Over 3.5,0.2345,4.26,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Under 3.5,0.7655,1.31,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Over 4.5,0.1039,9.62,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Total goals,Under 4.5,0.8961,1.12,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Both teams to score,Yes,0.4943,2.02,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Both teams to score,No,0.5057,1.98,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Home team goals,Over 0.5,0.7621,1.31,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Home team goals,Over 1.5,0.4204,2.38,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Home team goals,Over 2.5,0.1752,5.71,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Away team goals,Over 0.5,0.642,1.56,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Away team goals,Over 1.5,0.2743,3.65,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Away team goals,Over 2.5,0.0854,11.71,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Asian handicap,Home -0.5,0.4595,2.18,no better than league average,1.83,-15.91,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,goals,Asian handicap,Away +0.5,0.5405,1.85,no better than league average,2.03,9.72,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,ht_goals,Half-time result,Home,0.3008,3.32,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,ht_goals,Half-time result,Draw,0.4816,2.08,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,ht_goals,Half-time result,Away,0.2176,4.6,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,ht_goals,Half-time goals,Over 0.5,0.6074,1.65,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,ht_goals,Half-time goals,Over 1.5,0.2403,4.16,no better than league average,,,,,,
2026-09-26,15:00,E2,England,League One,England · League One,Cambridge v AFC Wimbledon,Cambridge,AFC Wimbledon,11.9,1.44,1.03,ht_goals,Half-time goals,Over 2.5,0.0687,14.55,no better than league average,,,,,,
